PSPID,PlotMeas,SpeciesCode,Location,Exclude,Status,Age,Stocking,MDH,BA,TSV
PSP-028,PSP-028 12,EP,RAIL (AS307),FALSE,Open,1.02,1080,5,1.461625982,2.630926768
PSP-028,PSP-028 18,EP,RAIL (AS307),FALSE,Open,1.5,1080,8.5,4.35330494,13.32111312
PSP-028,PSP-028 24,EP,RAIL (AS307),FALSE,Open,2,1000,9.45,7.077191434,24.07660526
PSP-028,PSP-028 36,EP,RAIL (AS307),FALSE,Open,2.93,960,16.9,11.94402111,72.66742443
PSP-028,PSP-028 48,EP,RAIL (AS307),FALSE,Open,4.03,800,20.25,16.3962548,119.5286975
PSP-030,PSP-030 12,EP,Ongka,FALSE,Open,1.03,920,8.5,3.041690007,9.307571422
PSP-030,PSP-030 18,EP,Ongka,FALSE,Open,1.48,920,13.55,5.994755686,29.24241823
PSP-030,PSP-030 24,EP,Ongka,FALSE,Open,2.03,920,19.2,8.505485118,58.78991314
PSP-030,PSP-030 36,EP,Ongka,FALSE,Open,3.01,920,21.1,13.54394,102.8797682
PSP-031,PSP-031 6,EP,Ztopurung,FALSE,Open,0.49,1200,2.15,0,0
PSP-031,PSP-031 12,EP,Ztopurung,FALSE,Open,0.98,1040,5.21,2.415570591,4.530644201
PSP-031,PSP-031 18,EP,Ztopurung,FALSE,Open,1.49,1040,8.71,4.95718188,15.5437395
PSP-031,PSP-031 24,EP,Ztopurung,FALSE,Open,1.98,800,10.15,5.212593363,19.04681615
PSP-031,PSP-031 36,EP,Ztopurung,FALSE,Open,3.11,800,11.9,7.113131254,30.47265429
PSP-031,PSP-031 48,EP,Ztopurung,FALSE,Open,4.21,720,14.7,8.13172984,43.03311432
PSP-032,PSP-032 6,EP,Ztopurung,FALSE,Open,0.49,1200,1.855,0,0
PSP-032,PSP-032 12,EP,Ztopurung,FALSE,Open,0.98,1000,4.915,1.736641003,3.072812591
PSP-032,PSP-032 18,EP,Ztopurung,FALSE,Open,1.49,1000,8.525,4.842073925,14.86032488
PSP-032,PSP-032 24,EP,Ztopurung,FALSE,Open,1.98,880,13.1,6.440987506,30.37569708
PSP-032,PSP-032 36,EP,Ztopurung,FALSE,Open,3.11,800,17.05,9.706610238,59.57917364
PSP-032,PSP-032 48,EP,Ztopurung,FALSE,Open,4.21,720,17.75,12.44805824,79.54309212
PSP-033,PSP-033 6,EC,Orogawi,FALSE,Open,0.5,520,0,0,0
PSP-033,PSP-033 12,EC,Orogawi,FALSE,Open,1.01,1440,7.455,3.290881136,8.832066794
PSP-033,PSP-033 18,EC,Orogawi,FALSE,Open,1.48,1240,9.45,5.207346903,17.71539416
PSP-033,PSP-033 24,EC,Orogawi,FALSE,Open,2.01,1240,17.65,9.91351553,62.99047768
PSP-033,PSP-033 48,EC,Orogawi,FALSE,Open,4.04,920,16.35,13.56470593,79.84185909
PSP-034,PSP-034 6,EP,Orogawi,FALSE,Open,0.58,1200,1.5,0,0
PSP-034,PSP-034 12,EP,Orogawi,FALSE,Open,1.02,840,3.3,0.348496873,0.414014285
PSP-034,PSP-034 18,EP,Orogawi,FALSE,Open,1.48,760,8.04,1.865634797,5.399893357
PSP-034,PSP-034 24,EP,Orogawi,FALSE,Open,2,760,11.25,4.661243852,18.8780376
PSP-036,PSP-036 6,EP,Nowa,FALSE,Open,0.56,1200,1.72,0,0
PSP-036,PSP-036 12,EP,Nowa,FALSE,Open,1.02,920,5.34,1.514561818,2.911593639
PSP-036,PSP-036 18,EP,Nowa,FALSE,Open,1.56,720,8.76,3.609689959,11.38351825
PSP-036,PSP-036 24,EP,Nowa,FALSE,Open,1.96,920,14.5,6.476675999,33.80824871
PSP-036,PSP-036 36,EP,Nowa,FALSE,Open,3.04,880,16.25,9.774814214,57.18266315
PSP-036,PSP-036 48,EP,Nowa,FALSE,Open,3.99,840,18.85,10.3302478,70.10106154
PSP-037,PSP-037 6,EP,Nowa,FALSE,Open,0.56,1200,2.63,0,0
PSP-037,PSP-037 12,EP,Nowa,FALSE,Open,1.02,1160,6.25,2.683391365,6.037630571
PSP-037,PSP-037 18,EP,Nowa,FALSE,Open,1.56,1160,10.36,6.455752992,24.07737636
PSP-037,PSP-037 24,EP,Nowa,FALSE,Open,1.96,1160,13.35,10.27922833,49.40197136
PSP-037,PSP-037 36,EP,Nowa,FALSE,Open,3.04,1120,16.35,15.06987438,88.70128062
